Location,coordinates
TommyTrojan,"-118.1703,34.0109"
ORL,"-118.1659,34.0120"
MBS,"-118.1702,34.0103"
ShoahFoundation,"-118.1654,34.0114"
SchoolOfCinematicArts,"-118.1707,34.0121"
CARlab,"-118.1715,34.0113"
MarksHall,"-118.1652,34.0106"
ViterbiSchoolofEnginnering,"-118.1717,34.0109"
McCarthyQuad,"-118.1654,34.0111"
RoskiSchool,"-118.1708,34.0106"
CromwellT&F,"-118.1710,34.0115"
AdmissionCenter,"-118.1705,34.0108"
